R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Fulham,46,30,11,5,90,32,101,23,16,5,2,49,14,53,23,14,6,3,41,18,48
2,Blackburn,46,26,13,7,76,39,91,23,15,5,3,43,20,50,23,11,8,4,33,19,41
3,Bolton,46,24,15,7,76,45,87,23,10,10,3,40,28,40,23,14,5,4,36,17,47
4,Preston,46,23,9,14,64,52,78,23,12,6,5,32,18,42,23,11,3,9,32,34,36
5,Birmingham,46,23,9,14,59,48,78,23,14,3,6,34,22,45,23,9,6,8,25,26,33
6,West Bromwich Albion,46,21,11,14,60,52,74,23,13,5,5,37,23,44,23,8,6,9,23,29,30
7,Burnley,46,21,9,16,50,54,72,23,14,5,4,30,17,47,23,7,4,12,20,37,25
8,Milton Keynes Dons,46,17,18,11,71,50,69,23,7,11,5,33,26,32,23,10,7,6,38,24,37
9,Watford,46,20,9,17,76,67,69,23,11,6,6,46,29,39,23,9,3,11,30,38,30
10,Sheffield United,46,19,11,16,52,49,68,23,14,4,5,34,18,46,23,5,7,11,18,31,22
11,Nottingham Forest,46,20,8,18,55,53,68,23,11,3,9,28,24,36,23,9,5,9,27,29,32
12,Wolverhampton Wanderers,46,14,13,19,45,48,55,23,7,9,7,25,20,30,23,7,4,12,20,28,25
13,Gillingham,46,13,16,17,61,66,55,23,9,6,8,32,28,33,23,4,10,9,29,38,22
14,Crewe,46,15,10,21,47,62,55,23,12,5,6,30,24,41,23,3,5,15,17,38,14
15,Norwich,46,14,12,20,46,58,54,23,10,7,6,25,18,37,23,4,5,14,21,40,17
16,Barnsley,46,15,9,22,49,62,54,23,11,3,9,32,26,36,23,4,6,13,17,36,18
17,Sheffield Wednesday,46,15,8,23,52,71,53,23,9,4,10,34,38,31,23,6,4,13,18,33,22
18,Grimsby,46,14,10,22,43,62,52,23,10,4,9,26,27,34,23,4,6,13,17,35,18
19,Stockport,46,11,18,17,58,65,51,23,6,11,6,29,26,29,23,5,7,11,29,39,22
20,Portsmouth,46,10,19,17,47,59,49,23,9,8,6,31,25,35,23,1,11,11,16,34,14
21,Crystal Palace,46,12,13,21,57,70,49,23,6,6,11,28,34,24,23,6,7,10,29,36,25
22,Huddersfield,46,11,15,20,48,57,48,23,7,6,10,29,26,27,23,4,9,10,19,31,21
23,Queens Park Rangers,46,7,19,20,45,75,40,23,6,9,8,24,28,27,23,1,10,12,21,47,13
24,Tranmere,46,9,11,26,46,77,38,23,8,7,8,30,33,31,23,1,4,18,16,44,7
