R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Portsmouth,46,29,11,6,97,45,98,23,17,3,3,52,22,54,23,12,8,3,45,23,44
2,Leicester,46,26,14,6,73,40,92,23,16,5,2,40,12,53,23,10,9,4,33,28,39
3,Sheffield United,46,23,11,12,72,52,80,23,13,7,3,38,23,46,23,10,4,9,34,29,34
4,Reading,46,25,4,17,61,46,79,23,13,3,7,33,21,42,23,12,1,10,28,25,37
5,Wolverhampton Wanderers,46,20,16,10,81,44,76,23,9,10,4,40,19,37,23,11,6,6,41,25,39
6,Nottingham Forest,46,20,14,12,82,50,74,23,14,7,2,57,23,49,23,6,7,10,25,27,25
7,Ipswich,46,19,13,14,80,64,70,23,10,5,8,49,39,35,23,9,8,6,31,25,35
8,Norwich,46,19,12,15,60,49,69,23,14,4,5,36,17,46,23,5,8,10,24,32,23
9,Millwall,46,19,9,18,59,69,66,23,11,6,6,34,32,39,23,8,3,12,25,37,27
10,Milton Keynes Dons,46,18,11,17,76,73,65,23,12,5,6,39,28,41,23,6,6,11,37,45,24
11,Gillingham,46,16,14,16,56,65,62,23,10,6,7,33,31,36,23,6,8,9,23,34,26
12,Preston,46,16,13,17,68,70,61,23,11,7,5,44,29,40,23,5,6,12,24,41,21
13,Watford,46,17,9,20,54,70,60,23,11,5,7,33,26,38,23,6,4,13,21,44,22
14,Crystal Palace,46,14,17,15,59,52,59,23,8,10,5,29,17,34,23,6,7,10,30,35,25
15,Rotherham,46,15,14,17,62,62,59,23,8,9,6,27,25,33,23,7,5,11,35,37,26
16,Burnley,46,15,10,21,65,89,55,23,10,4,9,35,44,34,23,5,6,12,30,45,21
17,Walsall,46,15,9,22,57,69,54,23,10,3,10,34,34,33,23,5,6,12,23,35,21
18,Derby,46,15,7,24,55,74,52,23,9,5,9,33,32,32,23,6,2,15,22,42,20
19,Bradford,46,14,10,22,51,73,52,23,7,8,8,27,35,29,23,7,2,14,24,38,23
20,Coventry,46,12,14,20,46,62,50,23,6,6,11,23,31,24,23,6,8,9,23,31,26
21,Stoke,46,12,14,20,45,69,50,23,9,6,8,25,25,33,23,3,8,12,20,44,17
22,Sheffield Wednesday,46,10,16,20,56,73,46,23,7,7,9,29,32,28,23,3,9,11,27,41,18
23,Brighton,46,11,12,23,49,67,45,23,7,6,10,29,31,27,23,4,6,13,20,36,18
24,Grimsby,46,9,12,25,48,85,39,23,5,6,12,26,39,21,23,4,6,13,22,46,18
