R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Sunderland,46,27,7,12,76,47,88,23,15,4,4,38,18,49,23,12,3,8,38,29,39
2,Birmingham,46,26,8,12,67,42,86,23,15,5,3,37,18,50,23,11,3,9,30,24,36
3,Derby,46,25,9,12,62,46,84,23,13,6,4,33,19,45,23,12,3,8,29,27,39
4,West Bromwich Albion,46,22,10,14,81,55,76,23,14,4,5,51,24,46,23,8,6,9,30,31,30
5,Wolverhampton Wanderers,46,22,10,14,59,56,76,23,12,5,6,33,28,41,23,10,5,8,26,28,35
6,Southampton,46,21,12,13,77,53,75,23,13,6,4,36,20,45,23,8,6,9,41,33,30
7,Preston,46,22,8,16,64,53,74,23,15,4,4,38,17,49,23,7,4,12,26,36,25
8,Stoke,46,19,16,11,62,41,73,23,12,8,3,35,16,44,23,7,8,8,27,25,29
9,Sheffield Wednesday,46,20,11,15,70,66,71,23,10,6,7,38,36,36,23,10,5,8,32,30,35
10,Colchester,46,20,9,17,70,56,69,23,15,4,4,46,19,49,23,5,5,13,24,37,20
11,Plymouth,46,17,16,13,63,62,67,23,10,8,5,36,26,38,23,7,8,8,27,36,29
12,Crystal Palace,46,18,11,17,59,51,65,23,12,3,8,33,22,39,23,6,8,9,26,29,26
13,Cardiff,46,17,13,16,57,53,64,23,11,7,5,33,18,40,23,6,6,11,24,35,24
14,Ipswich,46,18,8,20,64,59,62,23,13,2,8,40,29,41,23,5,6,12,24,30,21
15,Burnley,46,15,12,19,52,49,57,23,10,6,7,35,23,36,23,5,6,12,17,26,21
16,Norwich,46,16,9,21,56,71,57,23,10,5,8,29,25,35,23,6,4,13,27,46,22
17,Coventry,46,16,8,22,47,62,56,23,11,4,8,30,25,37,23,5,4,14,17,37,19
18,Queens Park Rangers,46,14,11,21,54,68,53,23,9,6,8,31,29,33,23,5,5,13,23,39,20
19,Leicester,46,13,14,19,49,64,53,23,6,8,9,26,31,26,23,7,6,10,23,33,27
20,Barnsley,46,15,5,26,53,85,50,23,9,4,10,27,29,31,23,6,1,16,26,56,19
21,Hull,46,13,10,23,51,67,49,23,8,3,12,33,32,27,23,5,7,11,18,35,22
22,Leeds,46,13,7,26,46,72,46,23,10,4,9,27,30,34,23,3,3,17,19,42,12
23,Southend,46,10,12,24,47,80,42,23,6,6,11,29,38,24,23,4,6,13,18,42,18
24,Luton,46,10,10,26,53,81,40,23,7,5,11,33,40,26,23,3,5,15,20,41,14
