R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Leicester,46,31,9,6,83,43,102,23,17,4,2,46,22,55,23,14,5,4,37,21,47
2,Burnley,46,26,15,5,72,37,93,23,15,6,2,37,14,51,23,11,9,3,35,23,42
3,Derby,46,25,10,11,84,52,85,23,14,4,5,46,25,46,23,11,6,6,38,27,39
4,Queens Park Rangers,46,23,11,12,60,44,80,23,15,6,2,38,18,51,23,8,5,10,22,26,29
5,Wigan,46,21,10,15,61,48,73,23,12,7,4,35,23,43,23,9,3,11,26,25,30
6,Brighton,46,19,15,12,55,40,72,23,10,7,6,31,21,37,23,9,8,6,24,19,35
7,Reading,46,19,14,13,70,56,71,23,8,10,5,38,25,34,23,11,4,8,32,31,37
8,Blackburn,46,18,16,12,70,62,70,23,11,7,5,34,21,40,23,7,9,7,36,41,30
9,Ipswich,46,18,14,14,60,54,68,23,12,6,5,35,24,42,23,6,8,9,25,30,26
10,Bournemouth,46,18,12,16,67,66,66,23,11,5,7,40,27,38,23,7,7,9,27,39,28
11,Nottingham Forest,46,16,17,13,67,64,65,23,10,7,6,38,29,37,23,6,10,7,29,35,28
12,Middlesbrough,46,16,16,14,62,50,64,23,10,9,4,35,20,39,23,6,7,10,27,30,25
13,Watford,46,15,15,16,74,64,60,23,11,5,7,39,25,38,23,4,10,9,35,39,22
14,Bolton,46,14,17,15,59,60,59,23,6,11,6,29,23,29,23,8,6,9,30,37,30
15,Leeds,46,16,9,21,59,67,57,23,9,5,9,35,31,32,23,7,4,12,24,36,25
16,Sheffield Wednesday,46,13,14,19,63,65,53,23,9,4,10,39,33,31,23,4,10,9,24,32,22
17,Huddersfield,46,14,11,21,58,65,53,23,8,6,9,34,32,30,23,6,5,12,24,33,23
18,Charlton,46,13,12,21,41,61,51,23,7,6,10,21,28,27,23,6,6,11,20,33,24
19,Millwall,46,11,15,20,46,74,48,23,6,9,8,26,33,27,23,5,6,12,20,41,21
20,Blackpool,46,11,13,22,38,66,46,23,7,6,10,20,27,27,23,4,7,12,18,39,19
21,Birmingham,46,11,11,24,58,74,44,23,2,8,13,29,40,14,23,9,3,11,29,34,30
22,Doncaster,46,11,11,24,39,70,44,23,9,4,10,27,32,31,23,2,7,14,12,38,13
23,Barnsley,46,9,12,25,44,77,39,23,5,8,10,22,36,23,23,4,4,15,22,41,16
24,Yeovil,46,8,13,25,44,75,37,23,4,6,13,19,32,18,23,4,7,12,25,43,19
