R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Bournemouth,46,26,12,8,98,45,90,23,13,7,3,48,25,46,23,13,5,5,50,20,44
2,Watford,46,27,8,11,91,50,89,23,14,4,5,48,22,46,23,13,4,6,43,28,43
3,Norwich,46,25,11,10,88,48,86,23,12,6,5,50,24,42,23,13,5,5,38,24,44
4,Middlesbrough,46,25,10,11,68,37,85,23,15,5,3,42,12,50,23,10,5,8,26,25,35
5,Brentford,46,23,9,14,78,59,78,23,12,6,5,46,28,42,23,11,3,9,32,31,36
6,Ipswich,46,22,12,12,72,54,78,23,15,5,3,40,18,50,23,7,7,9,32,36,28
7,Wolverhampton Wanderers,46,22,12,12,70,56,78,23,13,6,4,42,23,45,23,9,6,8,28,33,33
8,Derby,46,21,14,11,85,56,77,23,12,7,4,48,24,43,23,9,7,7,37,32,34
9,Blackburn,46,17,16,13,66,59,67,23,11,6,6,37,28,39,23,6,10,7,29,31,28
10,Birmingham,46,16,15,15,54,64,63,23,10,7,6,29,31,37,23,6,8,9,25,33,26
11,Cardiff,46,16,14,16,57,61,62,23,10,5,8,31,30,35,23,6,9,8,26,31,27
12,Charlton,46,14,18,14,54,60,60,23,9,9,5,32,27,36,23,5,9,9,22,33,24
13,Sheffield Wednesday,46,14,18,14,43,49,60,23,5,11,7,16,20,26,23,9,7,7,27,29,34
14,Nottingham Forest,46,15,14,17,71,69,59,23,9,5,9,37,32,32,23,6,9,8,34,37,27
15,Leeds,46,15,11,20,50,61,56,23,8,6,9,22,24,30,23,7,5,11,28,37,26
16,Huddersfield,45,13,15,17,58,75,54,23,8,8,7,34,34,32,22,5,7,10,24,41,22
17,Fulham,46,14,10,22,62,83,52,23,9,5,9,36,38,32,23,5,5,13,26,45,20
18,Bolton,46,13,12,21,54,67,51,23,9,8,6,35,27,35,23,4,4,15,19,40,16
19,Reading,46,13,11,22,48,69,50,23,8,5,10,24,25,29,23,5,6,12,24,44,21
20,Brighton,46,10,17,19,44,54,47,23,6,8,9,26,29,26,23,4,9,10,18,25,21
21,Rotherham,46,11,16,19,46,67,46,23,8,7,8,31,34,31,23,3,9,11,15,33,18
22,Millwall,46,9,14,23,42,76,41,23,5,7,11,25,40,22,23,4,7,12,17,36,19
23,Wigan,46,9,12,25,39,64,39,23,3,8,12,18,29,17,23,6,4,13,21,35,22
24,Blackpool,45,4,13,28,36,91,25,22,4,6,12,18,35,18,23,0,7,16,18,56,7
