R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Burnley,46,26,15,5,72,35,93,23,15,6,2,38,14,51,23,11,9,3,34,21,42
2,Middlesbrough,46,26,11,9,63,31,89,23,16,5,2,34,8,53,23,10,6,7,29,23,36
3,Brighton,46,24,17,5,72,42,89,23,15,5,3,40,18,50,23,9,12,2,32,24,39
4,Hull,46,24,11,11,69,35,83,23,15,7,1,47,12,52,23,9,4,10,22,23,31
5,Derby,46,21,15,10,66,43,78,23,12,7,4,37,16,43,23,9,8,6,29,27,35
6,Sheffield Wednesday,46,19,17,10,66,45,74,23,13,8,2,42,17,47,23,6,9,8,24,28,27
7,Ipswich,46,18,15,13,53,51,69,23,9,8,6,28,24,35,23,9,7,7,25,27,34
8,Cardiff,46,17,17,12,56,51,68,23,12,9,2,33,20,45,23,5,8,10,23,31,23
9,Brentford,46,19,8,19,72,67,65,23,10,4,9,33,30,34,23,9,4,10,39,37,31
10,Birmingham,46,16,15,15,53,49,63,23,9,5,9,27,27,32,23,7,10,6,26,22,31
11,Preston,46,15,17,14,45,45,62,23,7,10,6,21,21,31,23,8,7,8,24,24,31
12,Queens Park Rangers,46,14,18,14,54,54,60,23,10,9,4,37,25,39,23,4,9,10,17,29,21
13,Leeds,46,14,17,15,50,58,59,23,7,8,8,23,28,29,23,7,9,7,27,30,30
14,Wolverhampton Wanderers,46,14,16,16,53,58,58,23,7,10,6,26,26,31,23,7,6,10,27,32,27
15,Blackburn,46,13,16,17,46,46,55,23,8,8,7,29,23,32,23,5,8,10,17,23,23
16,Nottingham Forest,46,13,16,17,43,47,55,23,7,8,8,25,26,29,23,6,8,9,18,21,26
17,Reading,46,13,13,20,52,59,52,23,8,9,6,25,20,33,23,5,4,14,27,39,19
18,Bristol City,46,13,13,20,54,71,52,23,7,7,9,34,34,28,23,6,6,11,20,37,24
19,Huddersfield,46,13,12,21,59,70,51,23,7,6,10,33,33,27,23,6,6,11,26,37,24
20,Fulham,46,12,15,19,66,79,51,23,8,5,10,36,36,29,23,4,10,9,30,43,22
21,Rotherham,46,13,10,23,53,71,49,23,8,6,9,31,34,30,23,5,4,14,22,37,19
22,Charlton,46,9,13,24,40,80,40,23,5,8,10,23,35,23,23,4,5,14,17,45,17
23,Milton Keynes Dons,46,9,12,25,39,69,39,23,7,3,13,21,37,24,23,2,9,12,18,32,15
24,Bolton,46,5,15,26,41,81,30,23,5,11,7,24,26,26,23,0,4,19,17,55,4
