R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Bolton,18,11,4,3,31,18,37,8,7,0,1,17,8,21,10,4,4,2,14,10,16
2,Birmingham,17,10,3,4,23,10,33,9,6,2,1,11,4,20,8,4,1,3,12,6,13
3,Manchester City,17,8,7,2,31,17,31,9,6,2,1,17,7,20,8,2,5,1,14,10,11
4,Ipswich,16,9,3,4,21,13,30,8,5,1,2,9,4,16,8,4,2,2,12,9,14
5,Charlton,17,8,5,4,24,16,29,9,5,1,3,12,7,16,8,3,4,1,12,9,13
6,Wolverhampton Wanderers,16,9,1,6,24,14,28,8,7,1,0,20,4,22,8,2,0,6,4,10,6
7,Barnsley,16,7,6,3,29,23,27,8,4,3,1,12,8,15,8,3,3,2,17,15,12
8,Nottingham Forest,16,7,5,4,22,15,26,8,3,4,1,10,5,13,8,4,1,3,12,10,13
9,Fulham,17,7,4,6,23,16,25,8,6,2,0,20,5,20,9,1,2,6,3,11,5
10,Queens Park Rangers,16,6,7,3,23,17,25,8,3,4,1,9,6,13,8,3,3,2,14,11,12
11,Huddersfield,16,6,5,5,15,17,23,8,3,3,2,9,8,12,8,3,2,3,6,9,11
12,Blackburn,18,5,7,6,19,18,22,9,3,4,2,12,9,13,9,2,3,4,7,9,9
13,Crewe,16,7,1,8,16,26,22,8,4,0,4,11,15,12,8,3,1,4,5,11,10
14,Portsmouth,16,6,3,7,20,21,21,8,4,1,3,14,11,13,8,2,2,4,6,10,8
15,Tranmere,17,5,6,6,19,27,21,9,3,4,2,12,12,13,8,2,2,4,7,15,8
16,West Bromwich Albion,16,5,4,7,18,26,19,8,4,2,2,12,10,14,8,1,2,5,6,16,5
17,Norwich,17,4,6,7,17,19,18,8,3,3,2,8,6,12,9,1,3,5,9,13,6
18,Crystal Palace,16,4,6,6,14,18,18,8,1,5,2,8,10,8,8,3,1,4,6,8,10
19,Swindon,16,5,2,9,17,26,17,8,3,0,5,9,12,9,8,2,2,4,8,14,8
20,Sheffield United,16,3,7,6,20,26,16,8,2,5,1,15,9,11,8,1,2,5,5,17,5
21,Walsall,16,4,4,8,19,30,16,8,3,1,4,11,16,10,8,1,3,4,8,14,6
22,Grimsby,16,3,5,8,7,18,14,8,3,3,2,6,4,12,8,0,2,6,1,14,2
23,Stockport,16,2,6,8,20,26,12,8,1,2,5,8,11,5,8,1,4,3,12,15,7
24,Port Vale,18,1,5,12,16,31,8,9,1,3,5,11,14,6,9,0,2,7,5,17,2
